latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,7200,Europe/Berlin,CEST

time,precipitation_probability (%)
1696543200,0
1696546800,0
1696550400,0
1696554000,1
1696557600,2
1696561200,3
1696564800,2
1696568400,1
1696572000,0
1696575600,0
1696579200,0
1696582800,0
1696586400,1
1696590000,2
1696593600,3
1696597200,6
1696600800,10
1696604400,13
1696608000,11
1696611600,8
1696615200,6
1696618800,4
1696622400,2
1696626000,0
1696629600,0
1696633200,0
1696636800,0
1696640400,0
1696644000,0
1696647600,0
1696651200,10
1696654800,19
1696658400,29
1696662000,47
1696665600,66
1696669200,84
1696672800,83
1696676400,82
1696680000,81
1696683600,80
1696687200,78
1696690800,77
1696694400,77
1696698000,77
1696701600,77
1696705200,75
1696708800,73
1696712400,71
1696716000,67
1696719600,62
1696723200,58
1696726800,54
1696730400,49
1696734000,45
1696737600,34
1696741200,24
1696744800,13
1696748400,9
1696752000,4
1696755600,0
1696759200,0
1696762800,0
1696766400,0
1696770000,0
1696773600,0
1696777200,0
1696780800,0
1696784400,0
1696788000,0
1696791600,0
1696795200,0
1696798800,0
1696802400,1
1696806000,2
1696809600,3
1696813200,3
1696816800,3
1696820400,3
1696824000,3
1696827600,3
1696831200,3
1696834800,3
1696838400,3
1696842000,3
1696845600,5
1696849200,8
1696852800,10
1696856400,13
1696860000,16
1696863600,19
1696867200,16
1696870800,13
1696874400,10
1696878000,12
1696881600,14
1696885200,16
