latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,-10800,America/Sao_Paulo,-03

time,temperature_2m (°C)
1696993200,14.0
1696996800,13.9
1697000400,14.0
1697004000,14.1
1697007600,14.9
1697011200,16.4
1697014800,18.4
1697018400,20.4
1697022000,21.5
1697025600,22.2
1697029200,22.6
1697032800,22.3
1697036400,21.7
1697040000,20.3
1697043600,19.0
1697047200,18.4
1697050800,18.2
1697054400,18.1
1697058000,18.6
1697061600,18.4
1697065200,17.6
1697068800,17.3
1697072400,16.5
1697076000,16.1
